"Collander, Mr. Erik Gustaf"
"Dahlberg, Miss. Gerda Ulrika"
"Dakic, Mr. Branko"
"Molson, Mr. Harry Markland"
"Simonius-Blumer, Col. Oberst Alfons"
"Dahl, Mr. Karl Edwart"
"Hendekovic, Mr. Ignjac"
"Jussila, Mr. Eiriik"
"Olsvigen, Mr. Thor Anderson"
"Woolner, Mr. Hugh"
"Leyson, Mr. Robert William Norman"
"Adams, Mr. John"
"Connolly, Miss. Kate"
"Coxon, Mr. Daniel"
"Keefe, Mr. Arthur"
"Leitch, Miss. Jessie Wills"
"Allum, Mr. Owen George"
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)"
"Bazzani, Miss. Albina"
"Blackwell, Mr. Stephen Weart"
"Hays, Miss. Margaret Bechstein"
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)"
"Honkanen, Miss. Eliina"
"Cacic, Mr. Luka"
"Leeni, Mr. Fahim (Philip Zenni)"
"Harris, Mr. George"
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)"
"McCoy, Mr. Bernard"
"Bonnell, Miss. Elizabeth"
"Lahtinen, Mrs. William (Anna Sylfven)"
"Simmons, Mr. John"
"Strandberg, Miss. Ida Sofia"
"Moore, Mr. Leonard Charles"
"Goodwin, Mrs. Frederick (Augusta Tyler)"
"Skoog, Miss. Margit Elizabeth"
"Duane, Mr. Frank"
"Connaghton, Mr. Michael"
"Keane, Mr. Andrew Andy"
"Oreskovic, Miss. Marija"
"Rice, Master. Eugene"
"Nankoff, Mr. Minko"
"Holm, Mr. John Fredrik Alexander"
"Jacobsohn, Mr. Sidney Samuel"
"Abelson, Mrs. Samuel (Hannah Wizosky)"
"Baclini, Mrs. Solomon (Latifa Qurban)"
"Shutes, Miss. Elizabeth W"
"Asplund, Master. Clarence Gustaf Hugo"
"Johnson, Miss. Eleanor Ileen"
"Green, Mr. George Henry"
"Eustis, Miss. Elizabeth Mussey"
"Moussa, Mrs. (Mantoura Boulos)"
"Coleridge, Mr. Reginald Charles"
"Willey, Mr. Edward"
"Minahan, Dr. William Edward"
"Williams, Mr. Leslie"
"Lehmann, Miss. Bertha"
"Panula, Mr. Jaako Arnold"
"Christmann, Mr. Emil"
"Calderhead, Mr. Edward Pennington"
"Ponesell, Mr. Martin"
"Andrew, Mr. Edgardo Samuel"
"Skoog, Mrs. William (Anna Bernhardina Karlsson)"
"Abelson, Mr. Samuel"
"Mudd, Mr. Thomas Charles"
"Romaine, Mr. Charles Hallace (Mr C Rolmane)"
"Mellinger, Miss. Madeleine Violet"
"Goldsmith, Mr. Frank John"
"Stanley, Mr. Edward Roland"
"Guggenheim, Mr. Benjamin"
"Richards, Master. William Rowe"
"Anderson, Mr. Harry"
"West, Mrs. Edwy Arthur (Ada Mary Worth)"
"Davis, Miss. Mary"
"Clarke, Mrs. Charles V (Ada Maria Winfield)"
"Wells, Miss. Joan"
"Quick, Miss. Phyllis May"
"Backstrom, Mr. Karl Alfred"
"Skoog, Miss. Mabel"
"Andersson, Mr. Anders Johan"
"Olsson, Mr. Nils Johan Goransson"
"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)"
"Knight, Mr. Robert J"
"Longley, Miss. Gretchen Fiske"
"Staneff, Mr. Ivan"
"Sage, Mr. George John Jr"
"Johnson, Mr. Alfred"
"Myhrman, Mr. Pehr Fabian Oliver Malkolm"
"Yrois, Miss. Henriette (Mrs Harbeck)"
"O'Leary, Miss. Hanora Norah"
"Torber, Mr. Ernst William"
"Robins, Mrs. Alexander A (Grace Charity Laury)"
"Peters, Miss. Katie"
"Persson, Mr. Ernst Ulrik"
"Alhomaki, Mr. Ilmari Rudolf"
"Dimic, Mr. Jovan"
"Richard, Mr. Emile"
"Coutts, Master. Eden Leslie Neville"
"Ford, Mr. William Neal"
"Edvardsson, Mr. Gustaf Hjalmar"
"Mellors, Mr. William John"
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)"
"Beane, Mrs. Edward (Ethel Clarke)"
"Lines, Miss. Mary Conover"
"McEvoy, Mr. Michael"
"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)"
"Kimball, Mr. Edwin Nelson Jr"
"Downton, Mr. William James"
"Hart, Miss. Eva Miriam"
"Pengelly, Mr. Frederick William"
"Sandstrom, Miss. Marguerite Rut"
"Lindblom, Miss. Augusta Charlotta"
"Caram, Mrs. Joseph (Maria Elias)"
"Newell, Mr. Arthur Webster"
"Palsson, Master. Gosta Leonard"
"Mayne, Mlle. Berthe Antonine (Mrs de Villiers)"
"Svensson, Mr. Johan"
"Beesley, Mr. Lawrence"
"Hold, Mr. Stephen"
"Sivola, Mr. Antti Wilhelm"
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)"
"Masselmani, Mrs. Fatima"
"Zimmerman, Mr. Leo"
"Smart, Mr. John Montgomery"
"Larsson, Mr. August Viktor"
"Mannion, Miss. Margareth"
"Bowerman, Miss. Elsie Edith"
"Niskanen, Mr. Juha"
"Gustafsson, Mr. Johan Birger"
"Goodwin, Mr. Charles Edward"
"Stranden, Mr. Juho"
"Soholt, Mr. Peter Andreas Lauritz Andersen"
"Odahl, Mr. Nils Martin"
"Mallet, Mr. Albert"
"Hansen, Mr. Claus Peter"
"Sinkkonen, Miss. Anna"
"Andersson, Miss. Sigrid Elisabeth"
"Meyer, Mrs. Edgar Joseph (Leila Saks)"
"Hagland, Mr. Ingvald Olai Olsen"
"Johnson, Master. Harold Theodor"
"Kelly, Miss. Anna Katherine Annie Kate"
"Skoog, Mr. Wilhelm"
"Homer, Mr. Harry (Mr E Haven)"
"Crease, Mr. Ernest James"
"Lundahl, Mr. Johan Svensson"
"Giglio, Mr. Victor"
"Kalvik, Mr. Johannes Halvorsen"
"Leader, Dr. Alice (Farnham)"
"Navratil, Mr. Michel (Louis M Hoffman)"
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)"
"Harper, Miss. Annie Jessie Nina"
"Saad, Mr. Amin"
"Hood, Mr. Ambrose Jr"
"Doling, Mrs. John T (Ada Julia Bone)"
"Cherry, Miss. Gladys"
"Angle, Mrs. William A (Florence Mary Agnes Hughes)"
"Doharr, Mr. Tannous"
"Stanley, Miss. Amy Zillah Elsie"
"Nicholls, Mr. Joseph Charles"
"McGovern, Miss. Mary"
"Frolicher, Miss. Hedwig Margaritha"
"Nye, Mrs. (Elizabeth Ramell)"
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)"
"Kelly, Mrs. Florence Fannie"
"Cann, Mr. Ernest Charles"
"Reeves, Mr. David"
"Minahan, Miss. Daisy E"
"Abbott, Mr. Rossmore Edward"
"Daly, Mr. Eugene Patrick"
"Fynney, Mr. Joseph J"
"Johnson, Mr. William Cahoone Jr"
"Ohman, Miss. Velin"
"Kink, Mr. Vincenz"
"Perkin, Mr. John Henry"
"Reed, Mr. James George"
"White, Mr. Richard Frasar"
"Berglund, Mr. Karl Ivar Sven"
"Murphy, Miss. Katherine Kate"
"Landergren, Miss. Aurora Adelia"
"Shelley, Mrs. William (Imanita Parrish Hall)"
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)"
"Dodge, Master. Washington"
"Peduzzi, Mr. Joseph"
"Salonen, Mr. Johan Werner"
"Vander Planke, Mr. Leo Edmondus"
"Danoff, Mr. Yoto"
"Lemore, Mrs. (Amelia Milley)"
"Otter, Mr. Richard"
"Horgan, Mr. John"
"Johansson, Mr. Karl Johan"
"Jalsevac, Mr. Ivan"
"Razi, Mr. Raihed"
"Stewart, Mr. Albert A"
"Madigan, Miss. Margaret Maggie"
"Cribb, Mr. John Hatfield"
"Vestrom, Miss. Hulda Amanda Adolfina"
"Rush, Mr. Alfred George John"
"Karaic, Mr. Milan"
"Coleff, Mr. Satio"
"Bailey, Mr. Percy Andrew"
"Bostandyeff, Mr. Guentcho"
"Rugg, Miss. Emily"
"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)"
"Meo, Mr. Alfonzo"
"Birkeland, Mr. Hans Martin Monsen"
"Heikkinen, Miss. Laina"
"Sundman, Mr. Johan Julian"
"Richards, Mrs. Sidney (Emily Hocking)"
"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)"
"Markun, Mr. Johann"
"Banfield, Mr. Frederick James"
"Gaskell, Mr. Alfred"
"de Mulder, Mr. Theodore"
"Jenkin, Mr. Stephen Curnow"
"Ford, Miss. Doolina Margaret Daisy"
"Sage, Mr. Frederick"
"Nirva, Mr. Iisakki Antino Aijo"
"Dennis, Mr. Samuel"
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)"
"Humblen, Mr. Adolf Mathias Nicolai Olsen"
"van Melkebeke, Mr. Philemon"
"Jussila, Miss. Katriina"
"Andersson, Miss. Ellis Anna Maria"
"Van Impe, Mr. Jean Baptiste"
"Rice, Mrs. William (Margaret Norton)"
"Emir, Mr. Farred Chehab"
"Abbing, Mr. Anthony"
"Jussila, Miss. Mari Aina"
"Hawksford, Mr. Walter James"
"Davies, Mr. Charles Henry"
"Levy, Mr. Rene Jacques"
"Graham, Mr. George Edward"
"Zabour, Miss. Hileni"
"Ali, Mr. William"
"Nicola-Yarred, Miss. Jamila"
"Maioni, Miss. Roberta"
"Markoff, Mr. Marin"
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)"
"Lennon, Mr. Denis"
"Slocovski, Mr. Selman Francis"
"Herman, Miss. Alice"
"Fischer, Mr. Eberhard Thelander"
"Navratil, Master. Edmond Roger"
"Kenyon, Mrs. Frederick R (Marion)"
"Stankovic, Mr. Ivan"
"Young, Miss. Marie Grice"
"O'Connell, Mr. Patrick D"
"Mitkoff, Mr. Mito"
"Zabour, Miss. Thamine"
"Harris, Mrs. Henry Birkhardt (Irene Wallach)"
"Christy, Miss. Julie Rachel"
"Nosworthy, Mr. Richard Cater"
"Allison, Miss. Helen Loraine"
"Lefebre, Miss. Jeannie"
"Marechal, Mr. Pierre"
"Ilett, Miss. Bertha"
"Vander Planke, Miss. Augusta Maria"
"Naidenoff, Mr. Penko"
"West, Miss. Constance Mirium"
"Baxter, Mr. Quigg Edmond"
"Murphy, Miss. Margaret Jane"
"Nakid, Mr. Sahid"
"Garfirth, Mr. John"
"Sage, Mr. Douglas Bullen"
"Mangan, Miss. Mary"
"Millet, Mr. Francis Davis"
"Dean, Master. Bertram Vere"
"Williams, Mr. Charles Duane"
"Webber, Miss. Susan"
"Najib, Miss. Adele Kiamie Jane"
"Watson, Mr. Ennis Hastings"
"Troupiansky, Mr. Moses Aaron"
"Vander Cruyssen, Mr. Victor"
"Sadlier, Mr. Matthew"
"Giles, Mr. Frederick Edward"
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)"
"Shellard, Mr. Frederick William"
"Moss, Mr. Albert Johan"
"Stone, Mrs. George Nelson (Martha Evelyn)"
"Colley, Mr. Edward Pomeroy"
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (Mrs Morgan)"
"Icard, Miss. Amelie"
"Dick, Mrs. Albert Adrian (Vera Gillespie)"
"Allen, Mr. William Henry"
"Carbines, Mr. William"
"Ringhini, Mr. Sante"
"Hickman, Mr. Leonard Mark"
"Sdycoff, Mr. Todor"
"Ryan, Mr. Patrick"
"Rintamaki, Mr. Matti"
"Taylor, Mr. Elmer Zebley"
"Boulos, Miss. Nourelain"
"Skoog, Master. Harald"
"Parrish, Mrs. (Lutie Davis)"
"Wick, Mrs. George Dennick (Mary Hitchcock)"
"Davies, Master. John Morgan Jr"
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)"
"Barber, Miss. Ellen Nellie"
"Mack, Mrs. (Mary)"
"Carter, Mr. William Ernest"
"Leinonen, Mr. Antti Gustaf"
"Berriman, Mr. William John"
"Penasco y Castellana, Mr. Victor de Satode"
"Bystrom, Mrs. (Karolina)"
"Moraweck, Dr. Ernest"
"Brewe, Dr. Arthur Jackson"
"Collyer, Mrs. Harvey (Charlotte Annie Tate)"
"Thorneycroft, Mr. Percival"
"Navratil, Master. Michel M"
"Kiernan, Mr. Philip"
"Slayter, Miss. Hilda Mary"
"Yousif, Mr. Wazli"
"Skoog, Master. Karl Thorsten"
"Futrelle, Mrs. Jacques Heath (Lily May Peel)"
"Jonsson, Mr. Carl"
"Cor, Mr. Liudevit"
"Kvillner, Mr. Johan Henrik Johannesson"
"Sirota, Mr. Maurice"
"Panula, Mr. Ernesti Arvid"
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)"
"Sedgwick, Mr. Charles Frederick Waddington"
"Glynn, Miss. Mary Agatha"
"White, Mr. Percival Wayland"
"Thayer, Mrs. John Borland (Marian Longstreth Morris)"
"Ali, Mr. Ahmed"
"Wilhelms, Mr. Charles"
"Lam, Mr. Len"
"Sagesser, Mlle. Emma"
"Allen, Miss. Elisabeth Walton"
"Cavendish, Mr. Tyrell William"
"Albimona, Mr. Nassef Cassem"
"Petterson, Mr. Johan Emil"
"Pickard, Mr. Berk (Berk Trembisky)"
"Moubarek, Master. Halim Gonios (William George)"
"Rekic, Mr. Tido"
"Farrell, Mr. James"
"McGowan, Miss. Anna Annie"
"Elias, Mr. Dibo"
"Peter, Mrs. Catherine (Catherine Rizk)"
"Carlsson, Mr. Frans Olof"
"Morley, Mr. William"
"Graham, Mrs. William Thompson (Edith Junkins)"
"Cook, Mr. Jacob"
"Gilinski, Mr. Eliezer"
"Lemberopolous, Mr. Peter L"
"Nenkoff, Mr. Christo"
"Harris, Mr. Henry Birkhardt"
"Dick, Mr. Albert Adrian"
"Carr, Miss. Helen Ellen"
"Hosono, Mr. Masabumi"
"Andersson, Miss. Ingeborg Constanzia"
"Taussig, Miss. Ruth"
"Moubarek, Master. Gerios"
"Mineff, Mr. Ivan"
"Bishop, Mrs. Dickinson H (Helen Walton)"
"Carter, Mrs. William Ernest (Lucile Polk)"
"Ostby, Mr. Engelhart Cornelius"
"Peter, Miss. Anna"
"Elias, Mr. Tannous"
"del Carlo, Mr. Sebastiano"
"Turja, Miss. Anna Sofia"
"Johanson, Mr. Jakob Alfred"
"Davison, Mrs. Thomas Henry (Mary E Finck)"
"Greenfield, Mr. William Bertram"
"Baclini, Miss. Eugenie"
"Ryerson, Miss. Susan Parker Suzette"
"Hogeboom, Mrs. John C (Anna Andrews)"
"Vanden Steen, Mr. Leo Peter"
"Baclini, Miss. Marie Catherine"
"Nicholson, Mr. Arthur Ernest"
"Watt, Mrs. James (Elizabeth Bessie Inglis Milne)"
"Newell, Miss. Madeleine"
"Sivic, Mr. Husein"
"Sage, Miss. Dorothy Edith Dolly"
"Bissette, Miss. Amelia"
"Andrews, Miss. Kornelia Theodosia"
"Gronnestad, Mr. Daniel Danielsen"
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)"
"Fortune, Mr. Mark"
"Kelly, Miss. Mary"
"Moran, Miss. Bertha"
"Saalfeld, Mr. Adolphe"
"Cleaver, Miss. Alice"
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)"
"Nasser, Mr. Nicholas"
"Hakkarainen, Mr. Pekka Pietari"
"Dean, Mr. Bertram Frank"
"Andersson, Mr. August Edvard (Wennerstrom)"
"Abbott, Mrs. Stanton (Rosa Hunt)"
"Murdlin, Mr. Joseph"
"Andersson, Miss. Erna Alexandra"
"Vovk, Mr. Janko"
"Asplund, Master. Edvin Rojj Felix"
"Betros, Mr. Tannous"
"Hunt, Mr. George Henry"
"Turkula, Mrs. (Hedwig)"
"Klasen, Mr. Klas Albin"
"Tikkanen, Mr. Juho"
"McKane, Mr. Peter David"
"Goodwin, Master. Harold Victor"
"Duran y More, Miss. Asuncion"
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)"
"Jensen, Mr. Niels Peder"
"Reuchlin, Jonkheer. John George"
"Bowen, Mr. David John Dai"
"Van der hoef, Mr. Wyckoff"
"Plotcharsky, Mr. Vasil"
"Hirvonen, Miss. Hildur E"
"Harrington, Mr. Charles H"
"Novel, Mr. Mansouer"
"Baumann, Mr. John D"
"Lobb, Mr. William Arthur"
"Klaber, Mr. Herman"
"Todoroff, Mr. Lalio"
"Svensson, Mr. Olof"
"Pettersson, Miss. Ellen Natalia"
"Arnold-Franchi, Mr. Josef"
"Chambers, Mrs. Norman Campbell (Bertha Griggs)"
"Barkworth, Mr. Algernon Henry Wilson"
"Ryerson, Miss. Emily Borie"
"Goodwin, Master. Sidney Leonard"
"Quick, Mrs. Frederick Charles (Jane Richards)"
"Windelov, Mr. Einar"
"Moran, Mr. James"
"Gustafsson, Mr. Karl Gideon"
"Ross, Mr. John Hugo"
"Tornquist, Mr. William Henry"
"Eklund, Mr. Hans Linus"
"Bourke, Mrs. John (Catherine)"
"Gill, Mr. John William"
"Ivanoff, Mr. Kanio"
"Sage, Master. Thomas Henry"
"Culumovic, Mr. Jeso"
"Hart, Mr. Benjamin"
"Eitemiller, Mr. George Floyd"
"Chaffee, Mr. Herbert Fuller"
"Hagland, Mr. Konrad Mathias Reiersen"
"Perreault, Miss. Anne"
"Sawyer, Mr. Frederick Charles"
"Ward, Miss. Anna"
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)"
"Johnson, Mr. Malkolm Joackim"
"Pernot, Mr. Rene"
"O'Connor, Mr. Maurice"
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)"
"Cardeza, Mr. Thomas Drake Martinez"
"Panula, Master. Eino Viljami"
"Ling, Mr. Lee"
"Fortune, Mr. Charles Alexander"
"Frost, Mr. Anthony Wood Archie"
"McCarthy, Mr. Timothy J"
"Wheadon, Mr. Edward H"
"Gilnagh, Miss. Katherine Katie"
"Sunderland, Mr. Victor Francis"
"Olsen, Mr. Ole Martin"
"Sutton, Mr. Frederick"
"Tobin, Mr. Roger"
"Fortune, Miss. Mabel Helen"
"Lefebre, Miss. Mathilde"
"Collyer, Miss. Marjorie Lottie"
"Henry, Miss. Delia"
"Samaan, Mr. Youssef"
"Kent, Mr. Edward Austin"
"Smith, Mr. James Clinch"
"Thorne, Mrs. Gertrude Maybelle"
"Richards, Master. George Sibley"
"Gheorgheff, Mr. Stanio"
"Caldwell, Master. Alden Gates"
"Charters, Mr. David"
"Corn, Mr. Harry"
"Goldschmidt, Mr. George B"
"de Pelsmaeker, Mr. Alfons"
"Moran, Mr. Daniel J"
"Johnston, Mr. Andrew G"
"Burke, Mr. Jeremiah"
"Kink-Heilmann, Miss. Luise Gretchen"
"Taussig, Mrs. Emil (Tillie Mandelbaum)"
"Mamee, Mr. Hanna"
"Lefebre, Master. Henry Forbes"
"Seward, Mr. Frederic Kimber"
"Futrelle, Mr. Jacques Heath"
"Touma, Mrs. Darwis (Hanne Youssef Razi)"
"Somerton, Mr. Francis William"
"Harper, Mr. Henry Sleeper"
"Natsch, Mr. Charles H"
"Aubart, Mme. Leontine Pauline"
"Wick, Miss. Mary Natalie"
"Bengtsson, Mr. John Viktor"
"Lefebre, Miss. Ida"
"Yasbeck, Mrs. Antoni (Selini Alexander)"
"Madsen, Mr. Fridtjof Arne"
"Webber, Mr. James"
"Lindell, Mr. Edvard Bengtsson"
"Sutehall, Mr. Henry Jr"
"Andrews, Mr. Thomas Jr"
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)"
"Doling, Miss. Elsie"
"Radeff, Mr. Alexander"
"Bidois, Miss. Rosalie"
"Mionoff, Mr. Stoytcho"
"Calic, Mr. Jovo"
"Rice, Master. Arthur"
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)"
"Rice, Master. George Hugh"
"Hodges, Mr. Henry Price"
"Long, Mr. Milton Clyde"
"Sloper, Mr. William Thompson"
"van Billiard, Mr. Austin Blyler"
"Youseff, Mr. Gerious"
"Asim, Mr. Adola"
"Foo, Mr. Choong"
"de Messemaeker, Mrs. Guillaume Joseph (Emma)"
"Lam, Mr. Ali"
"Lesurer, Mr. Gustave J"
"Saundercock, Mr. William Henry"
"Meyer, Mr. Edgar Joseph"
"Goldsmith, Master. Frank John William Frankie"
"Silvey, Mrs. William Baird (Alice Munger)"
"Oreskovic, Mr. Luka"
"Baclini, Miss. Helene Barbara"
"Morrow, Mr. Thomas Rowan"
"Rosblom, Mr. Viktor Richard"
"Garside, Miss. Ethel"
"Hegarty, Miss. Hanora Nora"
"Maisner, Mr. Simon"
"Dorking, Mr. Edward Arthur"
"Jensen, Mr. Svend Lauritz"
"Slemen, Mr. Richard James"
"Jonkoff, Mr. Lalio"
"Laleff, Mr. Kristo"
"Campbell, Mr. William"
"Collyer, Mr. Harvey"
"West, Mr. Edwy Arthur"
"Johansson, Mr. Erik"
"McCoy, Miss. Agnes"
"Hansen, Mr. Henrik Juul"
"Adahl, Mr. Mauritz Nils Martin"
"Hansen, Mr. Henry Damsgaard"
"Newell, Miss. Marjorie"
"Thayer, Mr. John Borland Jr"
"Matthews, Mr. William John"
"Duff Gordon, Sir. Cosmo Edmund (Mr Morgan)"
"Bradley, Mr. George (George Arthur Brayton)"
"Chambers, Mr. Norman Campbell"
"Canavan, Miss. Mary"
"Heininen, Miss. Wendla Maria"
"Brown, Mr. Thomas William Solomon"
"Ilmakangas, Miss. Pieta Sofia"
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)"
"Smiljanic, Mr. Mile"
"Rosblom, Mrs. Viktor (Helena Wilhelmina)"
"Salkjelsvik, Miss. Anna Kristine"
"Wiklund, Mr. Jakob Alfred"
"Fahlstrom, Mr. Arne Jonas"
"Sage, Miss. Stella Anna"
"Hassan, Mr. Houssein G N"
"Moor, Mrs. (Beila)"
"Leonard, Mr. Lionel"
"Parr, Mr. William Henry Marsh"
"Mullens, Miss. Katherine Katie"
"Dowdell, Miss. Elizabeth"
"Cunningham, Mr. Alfred Fleming"
"Risien, Mr. Samuel Beard"
"Elsbury, Mr. William James"
"Goldenberg, Mr. Samuel L"
"Jarvis, Mr. John Denzil"
"Lahoud, Mr. Sarkis"
"Greenberg, Mr. Samuel"
"Chronopoulos, Mr. Apostolos"
"Laitinen, Miss. Kristina Sofia"
"Bracken, Mr. James H"
"Crosby, Capt. Edward Gifford"
"Drew, Mrs. James Vivian (Lulu Thorne Christian)"
"Pasic, Mr. Jakob"
"Pinsky, Mrs. (Rosa)"
"Ball, Mrs. (Ada E Hall)"
"Jansson, Mr. Carl Olof"
"Moor, Master. Meier"
"Stead, Mr. William Thomas"
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)"
"Chibnall, Mrs. (Edith Martha Bowerman)"
"Brown, Mrs. James Joseph (Margaret Tobin)"
"Peuchen, Major. Arthur Godfrey"
"Stoytcheff, Mr. Ilia"
"Mallet, Master. Andre"
"Behr, Mr. Karl Howell"
"Artagaveytia, Mr. Ramon"
"Carrau, Mr. Francisco M"
"O'Sullivan, Miss. Bridget Mary"
"Johansson, Mr. Gustaf Joel"
"Pekoniemi, Mr. Edvard"
"Bateman, Rev. Robert James"
"Givard, Mr. Hans Kristensen"
"Clifford, Mr. George Quincy"
"Boulos, Mr. Hanna"
"Allison, Master. Hudson Trevor"
"Padro y Manent, Mr. Julian"
